Domain,Comparison,Child Demographics,Child CPS,Child Justice,Child Welfare,Parent Demographics,Parent Welfare,Perp Demographics,Perp Welfare,All CPS,All Health
CPS,18-29 vs 30-39,0.545273280961,0.0693316838802,0.692425546645,0.361602432852,0.101745679493,0.626762520146,0.328184999508,0.126591732142,0.249162768693,0.107362489245
CPS,18-29 vs 40-49,0.616477239071,0.00419075420108,0.16930899923,0.262508177597,0.0722901381971,0.329073169555,0.189183761931,0.632644681102,0.0614280776607,0.00588193851069
CPS,18-29 vs 50-59,0.06370567098,0.0012178526969,0.0550754363917,0.306008976118,0.846752763426,0.701640753576,0.699090358633,0.730613624276,0.0196444756601,0.00679279290796
CPS,18-29 vs 60-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPS,18-29 vs 70 up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPS,30-39 vs 40-49,0.978743636194,0.13682716829,0.236526636199,0.61760648868,0.694879042851,0.561810726458,0.684368537342,0.102280003889,0.31435567255,0.0788966568755
CPS,30-39 vs 50-59,0.027089096859,0.0550923299977,0.0655905578079,0.698023924795,0.334485274212,0.470594482346,0.756368877483,0.577572797315,0.124407232628,0.0802403719448
CPS,30-39 vs 60-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPS,30-39 vs 70 up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPS,40-49 vs 50-59,0.0401567900756,0.664580434293,0.570472878186,0.965487296639,0.253126511164,0.295629601066,0.551765942255,0.499677962697,0.667599646305,0.864611297515
CPS,40-49 vs 60-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPS,40-49 vs 70 up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPS,50-59 vs 60-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPS,50-59 vs 70 up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPS,60-69 vs 70 up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPS,Less than high School vs High School,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
